Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;16.1 Benicalap;2023;Hombre;Total;Total;48.2794577685089
Desempleo registrado de larga duracion;Ciutat Fallera;2023;Hombre;Total;Total;44.5054945054945
Desempleo registrado de larga duracion;Benifaraig ;2023;Hombre;Total;Total;31.25
Desempleo registrado de larga duracion;Poble Nou;2023;Hombre;Total;Total;28.5714285714286
Desempleo registrado de larga duracion;Carpesa;2023;Hombre;Total;Total;45.1612903225807
Desempleo registrado de larga duracion;Cases de Bàrcena;2023;Hombre;Total;Total;20
Desempleo registrado de larga duracion;Mauella;2023;Hombre;Total;Total;-
Desempleo registrado de larga duracion;Massarrojos;2023;Hombre;Total;Total;40.7407407407407
Desempleo registrado de larga duracion;Borbotó ;2023;Hombre;Total;Total;46.6666666666667
Desempleo registrado de larga duracion;Benimàmet;2023;Hombre;Total;Total;52.1739130434783
Desempleo registrado de larga duracion;Beniferri;2023;Hombre;Total;Total;40
Desempleo registrado de larga duracion;el Forn d'Alcedo;2023;Hombre;Total;Total;37.037037037037
Desempleo registrado de larga duracion;Castellar-l'Oliveral;2023;Hombre;Total;Total;51.7647058823529
Desempleo registrado de larga duracion;Pinedo;2023;Hombre;Total;Total;55.5555555555556
Desempleo registrado de larga duracion;el Saler;2023;Hombre;Total;Total;48.3870967741936
Desempleo registrado de larga duracion;el Palmar;2023;Hombre;Total;Total;50
Desempleo registrado de larga duracion;el Perellonet;2023;Hombre;Total;Total;63.8888888888889
Desempleo registrado de larga duracion;la Torre;2023;Hombre;Total;Total;50.625
Desempleo registrado de larga duracion;Faitanar;2023;Hombre;Total;Total;38.4615384615385
Desempleo registrado de larga duracion;Total ciudad;2023;Mujer;Total;Total;55.3421116971115
Desempleo registrado de larga duracion;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2023;Mujer;Total;Total;47.6761619190405
Desempleo registrado de larga duracion;2.1 Russafa + el Pla del Remei + Gran Via;2023;Mujer;Total;Total;53.7645811240721
Desempleo registrado de larga duracion;el Botànic + la Roqueta + la Petxina + Arrancapins;2023;Mujer;Total;Total;50.5908419497784
Desempleo registrado de larga duracion;Campanar + les Tendetes + el Calvari + Sant Pau;2023;Mujer;Total;Total;52.1816562778273
Desempleo registrado de larga duracion;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2023;Mujer;Total;Total;55.1020408163265
Desempleo registrado de larga duracion;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2023;Mujer;Total;Total;49.5495495495496
Desempleo registrado de larga duracion;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2023;Mujer;Total;Total;53.0652280529671
Desempleo registrado de larga duracion;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2023;Mujer;Total;Total;57.9864472410455
Desempleo registrado de larga duracion;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2023;Mujer;Total;Total;56.9477154969383
Desempleo registrado de larga duracion;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2023;Mujer;Total;Total;57.1002979145978
Desempleo registrado de larga duracion;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2023;Mujer;Total;Total;58.0073800738007
Desempleo registrado de larga duracion;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2023;Mujer;Total;Total;56.1242344706912
Desempleo registrado de larga duracion;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2023;Mujer;Total;Total;55.7182067703568
Desempleo registrado de larga duracion;Benimaclet + Camí de Vera;2023;Mujer;Total;Total;52.2421524663677
Desempleo registrado de larga duracion;Orriols + Torrefiel + Sant Llorenç;2023;Mujer;Total;Total;54.3092247726288
Desempleo registrado de larga duracion;16.1 Benicalap + Ciutat Fallera;2023;Mujer;Total;Total;57.6206140350877
Desempleo registrado de larga duracion;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2023;Mujer;Total;Total;60.6936416184971
Desempleo registrado de larga duracion;Benimàmet + Beniferri;2023;Mujer;Total;Total;58.5055643879173
Desempleo registrado de larga duracion;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2023;Mujer;Total;Total;56.8840579710145
